name,url,influencedByCount,influencedCount
Fictionist,https://www.allmusic.com/artist/fictionist-mn0001049792,8,0
Finish Ticket,https://www.allmusic.com/artist/finish-ticket-mn0002883447,5,0
Finn Brothers,https://www.allmusic.com/artist/finn-brothers-mn0000794604,3,0
Forever in Your Mind,https://www.allmusic.com/artist/forever-in-your-mind-mn0003408500,6,0
Francis Lung,https://www.allmusic.com/artist/francis-lung-mn0002777340,3,0
Fruition,https://www.allmusic.com/artist/fruition-mn0003181047,1,0
Gary Puckett & the Union Gap,https://www.allmusic.com/artist/gary-puckett-the-union-gap-mn0000188847,3,0
Glee,https://www.allmusic.com/artist/glee-mn0001790434,4,1
Hailey Knox,https://www.allmusic.com/artist/hailey-knox-mn0003514849,9,0
Harry Styles,https://www.allmusic.com/artist/harry-styles-mn0002854537,10,3
James Supercave,https://www.allmusic.com/artist/james-supercave-mn0003386362,16,0
Jigsaw,https://www.allmusic.com/artist/jigsaw-mn0001032454,1,0
Jim Croce,https://www.allmusic.com/artist/jim-croce-mn0000848034,13,19
John McCullagh,https://www.allmusic.com/artist/john-mccullagh-mn0003154359,7,0
John the Blind,https://www.allmusic.com/artist/john-the-blind-mn0003809214,1,0
Johnnie Mikel,https://www.allmusic.com/artist/johnnie-mikel-mn0003750097,7,0
Johnny Payne,https://www.allmusic.com/artist/johnny-payne-mn0001409043,5,0
Kevin Kiner,https://www.allmusic.com/artist/kevin-kiner-mn0000084280,20,0
Klangstof,https://www.allmusic.com/artist/klangstof-mn0003509025,3,0
Kyle Craft,https://www.allmusic.com/artist/kyle-craft-mn0001476358,5,0
L.A. Salami,https://www.allmusic.com/artist/la-salami-mn0003514363,8,0
Laurie Jones,https://www.allmusic.com/artist/laurie-jones-mn0000886081,10,0
Lennon Stella,https://www.allmusic.com/artist/lennon-stella-mn0003024972,3,0
Levitation Room,https://www.allmusic.com/artist/levitation-room-mn0003462983,7,0
Lukas Graham,https://www.allmusic.com/artist/lukas-graham-mn0003065843,5,0
Mainland,https://www.allmusic.com/artist/mainland-mn0001470961,12,0
Matt Simons,https://www.allmusic.com/artist/matt-simons-mn0001019633,1,0
Max Webster,https://www.allmusic.com/artist/max-webster-mn0000395404,13,0
Mayday,https://www.allmusic.com/artist/mayday-mn0000866769,5,0
Michael W. Smith,https://www.allmusic.com/artist/michael-w-smith-mn0000466759,19,24
Mikey Wax,https://www.allmusic.com/artist/mikey-wax-mn0001737958,3,0
Mo Troper,https://www.allmusic.com/artist/mo-troper-mn0003289108,2,0
Nick Howard,https://www.allmusic.com/artist/nick-howard-mn0003046755,7,0
Nick Piunti,https://www.allmusic.com/artist/nick-piunti-mn0001522059,5,0
Noel Gallagher's High Flying Birds,https://www.allmusic.com/artist/noel-gallaghers-high-flying-birds-mn0002766476,3,0
OneRepublic,https://www.allmusic.com/artist/onerepublic-mn0000656541,10,10
Pablo Cruise,https://www.allmusic.com/artist/pablo-cruise-mn0000003170,4,0
Papooz,https://www.allmusic.com/artist/papooz-mn0003493275,2,0
Pete Macleod,https://www.allmusic.com/artist/pete-macleod-mn0001495727,5,0
Phil Ajjarapu,https://www.allmusic.com/artist/phil-ajjarapu-mn0001325237,6,0
Portugal. The Man,https://www.allmusic.com/artist/portugal-the-man-mn0000716469,9,0
Rodney Crowell,https://www.allmusic.com/artist/rodney-crowell-mn0000294085,18,23
San Mei,https://www.allmusic.com/artist/san-mei-mn0003679560,4,0
Shawn Hook,https://www.allmusic.com/artist/shawn-hook-mn0002926957,15,0
Sivert Høyem,https://www.allmusic.com/artist/sivert-h%C3%B8yem-mn0001314128,13,0
Spanky & Our Gang,https://www.allmusic.com/artist/spanky-our-gang-mn0000008245,2,0
Sweet Baboo,https://www.allmusic.com/artist/sweet-baboo-mn0002149390,7,0
Switchfoot,https://www.allmusic.com/artist/switchfoot-mn0000049026,14,10
Telly Leung,https://www.allmusic.com/artist/telly-leung-mn0002064826,7,0
The Aerovons,https://www.allmusic.com/artist/the-aerovons-mn0001420543,2,0
The Creases,https://www.allmusic.com/artist/the-creases-mn0003176107,7,0
The Empty Hearts,https://www.allmusic.com/artist/the-empty-hearts-mn0002919875,6,0
The Equals,https://www.allmusic.com/artist/the-equals-mn0000056833,3,0
The Jaded Hearts Club,https://www.allmusic.com/artist/the-jaded-hearts-club-mn0003914782,1,0
The Kik,https://www.allmusic.com/artist/the-kik-mn0001577499,1,0
The Legal Matters,https://www.allmusic.com/artist/the-legal-matters-mn0003263088,7,0
